Provincia,Localidad,Municipio,Departamento,Latitud,Longitud
Buenos Aires,EL PATO,Berazategui,Berazategui,-34.9067557072114,-58.1966995021239
Buenos Aires,GUILLERMO ENRIQUE HUDSON,Berazategui,Berazategui,-34.7897594857633,-58.1439692638183
Buenos Aires,JUAN MARIA GUTIERREZ,Berazategui,Berazategui,-34.8348420760566,-58.1819061125702
Buenos Aires,PEREYRA,Berazategui,Berazategui,-34.8471945391094,-58.1392765205344
Buenos Aires,PLATANOS,Berazategui,Berazategui,-34.7674201820877,-58.1652686003148
Buenos Aires,RANELAGH,Berazategui,Berazategui,-34.7941468501172,-58.1989815634425
Buenos Aires,VILLA ESPAÑA,Berazategui,Berazategui,-34.776063416904,-58.2002532983623
Buenos Aires,BARRIO BANCO PROVINCIA,Berisso,Berisso,-34.8752589900973,-57.8550856662876
Buenos Aires,BARRIO EL CARMEN (ESTE),Berisso,Berisso,-34.9293102150655,-57.8853552505795
Buenos Aires,BARRIO UNIVERSITARIO,Berisso,Berisso,-34.9027528834433,-57.9270884333304
Buenos Aires,BERISSO,Berisso,Berisso,-34.8746353679645,-57.8947472316799
Buenos Aires,LOS TALAS,Berisso,Berisso,-34.9190209219847,-57.7909954962894
Buenos Aires,VILLA ARGÜELLO,Berisso,Berisso,-34.9053981881099,-57.9180815078165
Buenos Aires,VILLA DOLORES,Berisso,Berisso,-34.8802085383888,-57.8663036732616
Buenos Aires,VILLA INDEPENDENCIA,Berisso,Berisso,-34.8829519743895,-57.8614892695719
Buenos Aires,VILLA NUEVA,Berisso,Berisso,-34.8957079362353,-57.9108816644737
Buenos Aires,VILLA PORTEÑA,Berisso,Berisso,-34.891043310448,-57.8963773978494
Buenos Aires,VILLA PROGRESO,Berisso,Berisso,-34.9308766123633,-57.8468799885622
Buenos Aires,VILLA SAN CARLOS,Berisso,Berisso,-34.8838130805,-57.87701595642
Buenos Aires,VILLA ZULA,Berisso,Berisso,-34.9221646298322,-57.8009664840662
Buenos Aires,HALE,Bolívar,Bolívar,-36.0010429767568,-60.8534495072374
Buenos Aires,JUAN F. IBARRA,Bolívar,Bolívar,-36.3498770527922,-61.2552591224518
Buenos Aires,PAULA,Bolívar,Bolívar,-36.5053183545527,-61.0243287245345
Buenos Aires,PIROVANO,Bolívar,Bolívar,-36.5109170215402,-61.5545516558692
Buenos Aires,SAN CARLOS DE BOLIVAR,Bolívar,Bolívar,-36.2295602208798,-61.1131898679983
Buenos Aires,URDAMPILLETA,Bolívar,Bolívar,-36.4329292363695,-61.4191160192421
Buenos Aires,VILLA LYNCH PUEYRREDON,Bolívar,Bolívar,-36.6025793254646,-61.3618625494725
Buenos Aires,ASAMBLEA,Bragado,Bragado,-35.2267581272748,-60.4168952837295
Buenos Aires,BRAGADO,Bragado,Bragado,-35.118942299763,-60.4879147568209
Buenos Aires,COMODORO PY,Bragado,Bragado,-35.3233100374631,-60.5217314911689
